verdict	originMatch	band	headword	reading	glossEn	ko_word	ko_origin	ko_definition	id
1	Y	1	融合	ゆうごう	agglutination, adhesion, fusion, combination	융합(0)	融合	다른 종류의 것이 녹아서 서로 구별이 없게 하나로 합하여지거나 그렇게 만듦. 또는 그런 일.	1542590
3	n	2	北口	きたぐち	north entrance, north exit	북구(0)	北歐	‘북유럽’의 음역어.	1520970
3	n	1	四本	よんほん	four (long cylindrical things)	사본(1)	私本	개인이 소유한 책.	2005490
1	n	0	法廷	ほうてい	court (of law), courtroom	법정(1)	法廷/法庭	법원이 소송 절차에 따라 송사를 심리하고 판결하는 곳.	1517400
3	n	2	師走	しわす	twelfth month (esp. of the lunar calendar), December	사주(1)	司舟	신라 때, 선부(船府)에 속한 벼슬. 경덕왕 때 사지(舍知)를 고친 것으로, 혜공왕 때 다시 사지로 고쳤다.	1579500
1	Y	2	注入	ちゅうにゅう	pouring, injection	주입(1)	注入	흘러 들어가도록 부어 넣음.	1426640
1	Y	3	査問	さもん	inquiry, enquiry, hearing	사문(8)	査問	조사하여 캐물음.	1291470
1	Y	1	密着	みっちゃく	close adhesion, sticking firmly (to), being glued (to), relating closely (to)	밀착(0)	密着	빈틈없이 단단히 붙음.	1528300
1	Y	1	抵触	ていしょく	infringement (of a law, treaty, etc.), contravention, running afoul, conflict (with a theory, claim, etc.)	저촉(0)	抵觸	서로 부딪치거나 모순됨.	1436280
2	n	2	島内	とうない	on an island, on-island	도내(0)	道內	어떤 도(道)의 구역 안.	1446920
3	n	3	切貼	きりばり	patching (up), cutting a part and pasting a new one (e.g. a shoji door), cut and paste	체첩(1)	體帖	글씨를 쓸 때 본보기로 삼을 만한 잘 쓴 글씨를 모아 엮은 장첩.	1384500
1	Y	2	主犯	しゅはん	principal offence, principal offense, principal offender	주범(1)	主犯	형법에서, 자기의 의사에 따라 범죄를 실제로 저지른 사람. 단독 정범과 공동 정범으로 크게 나뉜다.	1326110
3	n	0	飢餓	きが	starvation, famine, hunger	기아(1)	棄兒	길러야 할 의무가 있는 사람이 남몰래 아이를 내다 버림. 또는 그렇게 버린 아이.	1224090
1	Y	2	全量	ぜんりょう	the whole amount, entire amount, total amount, total quantity	전량(3)	全量	전체의 분량이나 수량.	1396380
3	n	0	商売	しょうばい	trade, business, commerce, occupation	상매(0)	霜梅	익어서 떨어질 무렵의 매실나무 열매를 소금에 절인 것. 설사, 곽란, 중풍, 경간(驚癇), 유종(乳腫) 따위에 쓴다.	1347200
1	Y	2	集散	しゅうさん	collection (gathering) and distribution	집산(0)	集散	모여들었다 흩어졌다 함.	1659250
2	Y	2	酒場	さかば	bar, pub, tavern	주장(13)	酒場	술을 만들어 도매하는 집.	1329110
3	n	3	日干	ひぼし	sun-dried	일-간(1)	일間	공사장 따위에서, 작업장으로 마련한 임시 건물. 비, 이슬, 뙤약볕 따위를 피하기 위하여 지붕만 설치하여 쓴다.	1620550
3	n	0	苦手	にがて	poor (at), weak (in), not very good (at), not one's cup of tea	고수(1)		산형과의 한해살이풀. 높이는 30~60cm이며, 잎은 어긋나고 잘게 갈라진 우상 복엽이다. 6~7월에 작고 흰 꽃이 복산형 화서로 가지 끝에 피고 열매는 둥글다. 잎과 줄기는 동부 유럽이 원산지로 절에서 많이 재배한다.	1244470
1	Y	0	激戦	げきせん	fierce battle, hard-fought battle, hot contest, severe fight	격전(0)	激戰	세차게 싸움. 또는 세찬 싸움.	1253680
1	Y	3	複眼	ふくがん	compound eye	복안(3)	複眼	홑눈이 벌집 모양으로 여러 개 모여 된 눈. 절지동물이나 다모강 따위에서 볼 수 있다. 여러 방향에 있는 물체의 형태를 동시에 식별할 수 있으며 곤충은 색채를 판별할 수 있다.	1501310
1	Y	1	原産	げんさん	place of origin, habitat	원산(2)	原産	어떤 고장에서 처음으로 생산되거나 자라남. 또는 그런 물건.	1261470
3	n	0	楽観	らっかん	optimism, taking an optimistic view	악관(1)	握管	서예에서, 붓을 네 손가락으로 쥐고 엄지손가락으로 붓의 위쪽을 누르면서 글씨를 쓰는 방법.	1207310
1	Y	0	高官	こうかん	high official	고관(4)	高官	지위가 높은 벼슬이나 관리.	1283330
1	Y	1	自作	じさく	one's own work, making by oneself, farming on one's own land, independent farmer	자작(5)	自作	자기 스스로 만들거나 지음. 또는 그렇게 만든 것.	1317760
1	Y	0	管理職	かんりしょく	management, managerial position, administrative post, person in a managerial position	관리-직(0)	管理職	기업, 관공서 따위에서 관리 또는 감독의 직무를 맡아보는 직위.	1214250
3	n	3	見返	みかえし	endpaper (of a book), end-paper, facing (material sewn on the inside edge of a garment), looking back	견반(1)	見盤	예전에, 갱(坑) 속에서 사용하던 나침반.	1604410
1	Y	3	道化	どうけ	antics, buffoonery, clowning, clown	도화(8)	道化	도(道)로써 바른길로 이끎.	1454120
