char	now	old	corpusFreq	stdict_attested	samples
豊	풍	례	5	풍:13	豊漁 ほうりょう / 豊作 ほうさく / 豊年 ほうねん / 豊富 ほうふ
傍	방	팽	5	방:10	傍観 ぼうかん / 傍若無人 ぼうじゃくぶじん / 傍受 ぼうじゅ / 傍聴 ぼうちょう
竜	용·룡	농	5	용:21 룡:2	竜宮 りゅうぐう / 恐竜 きょうりゅう / 竜巻 たつまき / 登竜門 とうりゅうもん
零	령	련	5	영:4	零下 れいか / 零細 れいさい / 零時 れいじ / 零点 れいてん
尉	위	울	4	위:5	一尉 いちい / 少尉 しょうい / 大尉 たいい / 中尉 ちゅうい
喝	갈	애	4	갈:4	一喝 いっかつ / 喝采 かっさい / 喝破 かっぱ / 恐喝 きょうかつ
凸	철	돌	4	철:4	凹凸 おうとつ / 凸版 とっぱん / 凸版印刷 とっぱんいんさつ / 凸凹 でこぼこ
召	소	조	4	소:19	応召 おうしょう / 召喚 しょうかん / 召集 しょうしゅう / 召使 めしつかい
駄	태	타	4	태:7	下駄 げた / 駄菓子 だがし / 駄目 だめ / 無駄 むだ
汁	즙	집	4	즙:2	果汁 かじゅう / 胆汁 たんじゅう / 汁気 しるけ / 煮汁 にじる
麗	여·려	리	4	여:12 려:7	華麗 かれい / 壮麗 そうれい / 美辞麗句 びじれいく / 流麗 りゅうれい
控	공	강	4	공:10	控除 こうじょ / 控訴 こうそ / 控室 ひかえしつ / 基礎控除 きそこうじょ
趣	취	축	4	취:18	趣向 しゅこう / 趣旨 しゅし / 趣味 しゅみ / 趣意書 しゅいしょ
招	초	교	4	초:20	招集 しょうしゅう / 招待 しょうたい / 招致 しょうち / 招請 しょうせい
詳	상	양	4	상:23	詳細 しょうさい / 詳述 しょうじゅつ / 詳報 しょうほう / 不詳 ふしょう
貌	모	막	4	모:15	全貌 ぜんぼう / 美貌 びぼう / 変貌 へんぼう / 風貌 ふうぼう
妃	비	배	3	비:8	王妃 おうひ / 皇太子妃 こうたいしひ / 妃殿下 ひでんか
伯	백	패	3	백:17	画伯 がはく / 伯爵 はくしゃく / 伯仲 はくちゅう
渇	갈	걸	3	갈:4	渇水 かっすい / 渇望 かつぼう / 枯渇 こかつ
汽	기	흘	3	기:12	汽車 きしゃ / 汽船 きせん / 汽笛 きてき
戯	희	휘·호	3	희:10	戯画 ぎが / 戯曲 ぎきょく / 遊戯 ゆうぎ
糾	규	교	3	규:9	糾合 きゅうごう / 糾弾 きゅうだん / 紛糾 ふんきゅう
斜	사	야	3	사:43	傾斜 けいしゃ / 斜面 しゃめん / 斜陽 しゃよう
掲	게	갈·걸	3	게:4	掲載 けいさい / 掲示 けいじ / 掲揚 けいよう
帥	수	솔	3	수:15	元帥 げんすい / 総帥 そうすい / 統帥 とうすい
蛇	사	이	3	사:32	蛇口 じゃぐち / 蛇行 だこう / 大蛇 だいじゃ
摂	섭	엽	3	섭:4	摂取 せっしゅ / 摂理 せつり / 包摂 ほうせつ
漸	점	참	3	점:15	漸減 ぜんげん / 漸次 ぜんじ / 漸進 ぜんしん
挑	도	조	3	도:4	挑戦 ちょうせん / 挑発 ちょうはつ / 挑発的 ちょうはつてき
泌	비	필	3	비:4	内分泌 ないぶんぴつ / 分泌 ぶんぴつ / 泌尿器 ひにょうき
斉	제	자·체·채	2	제:11	一斉 いっせい / 斉唱 せいしょう
佳	가	개	2	가:19	佳境 かきょう / 佳作 かさく
亀	귀	균	2	귀:7 구:3	海亀 うみがめ / 亀裂 きれつ
酢	초	작	2	초:7	甘酢 あまず / 酢酸 さくさん
契	계	글	2	계:24	契機 けいき / 契約 けいやく
呉	오	우	2	오:7	呉越同舟 ごえつどうしゅう / 呉服 ごふく
勾	구	귀	2	구:1	勾配 こうばい / 勾玉 まがたま
昆	곤	혼	2	곤:2	昆虫 こんちゅう / 昆布 こんぶ
培	배	부	2	배:4	栽培 さいばい / 培養 ばいよう
斎	재	자	2	재:47	斎場 さいじょう / 書斎 しょさい
蚕	잠	천	2	잠:5	蚕糸 さんし / 養蚕 ようさん
扱	급	삽	2	급:1	事務取扱 じむとりあつかい / 取扱 とりあつかい
頃	경	규	2	경:4	手頃 てごろ / 日頃 ひごろ
拾	습	십	2	습:3	収拾 しゅうしゅう / 拾得 しゅうとく
硝	초	소	2	초:6	硝煙 しょうえん / 硝酸 しょうさん
肖	초	소	2	초:2	肖像 しょうぞう / 不肖 ふしょう
涯	애	의	2	애:4	生涯 しょうがい / 生涯教育 しょうがいきょういく
狙	저	처	2	저:3	狙撃 そげき / 狙撃兵 そげきへい
堕	타	휴	2	타:1	堕胎 だたい / 堕落 だらく
撲	박	복	2	박:4	打撲 だぼく / 撲滅 ぼくめつ
窒	질	절	2	질:2	窒素 ちっそ / 窒息 ちっそく
搭	탑	답	2	탑:3	搭載 とうさい / 搭乗 とうじょう
沸	비	불	2	비:5	湯沸器 ゆわかしき / 沸騰 ふっとう
肺	폐	패	2	폐:4	肺炎 はいえん / 肺結核 はいけっかく
濫	남·람	함	2	남:5	氾濫 はんらん / 濫造 らんぞう
較	교	각	2	교:5	比較 ひかく / 比較的 ひかくてき
秒	초	묘	2	초:3	秒速 びょうそく / 毎秒 まいびょう
冒	모	목	2	모:9	冒険 ぼうけん / 冒頭 ぼうとう
乞	걸	기	1	걸:3	乞食 こじき
昭	소	조	1	소:18	昭和 しょうわ
措	조	책	1	조:7	措置 そち
逮	체	태	1	체:3	逮捕 たいほ
劾	핵	해	1	핵:1	弾劾 だんがい
崖	애	의	1	애:2	断崖 だんがい
屯	둔	준	1	둔:3	駐屯 ちゅうとん
尼	니	일	1	이:4	尼僧 にそう
汎	범	봉	1	범:1	汎用 はんよう
頒	반	분	1	반:5	頒布 はんぷ
罷	파	피	1	파:8	罷免 ひめん
匹	필	목	1	필:2	匹敵 ひってき
盾	순	돈	1	순:2	矛盾 むじゅん
蓋	개	합	1	개:19	目蓋 まぶた
